,NSW air quality monitoring (AQMN) site,AQMN Region,"Sub-region,where applicable",Site address,"Latitude
(South)","Longitude
(East)",Altitude (ahd),Commissioned,Status,Station type,Timezone of site location,Timezone observations reported in,Station Movement (m),PM10,PM2.5,TSP (indicative),NO/NO2/NOx,SO2,O3,NEPH,CO,NH3,WSP/WD/SD1,TEMP/RH,SOLAR,PRECIPITATION,Black Carbon,Web link to station meta data page
,Bathurst,Rural and regional NSW,Central Tablelands,Sewage Treatment Plant,-33.40192,149.57459,625,2000,Active,Standard - Australian Standards Methods,Australian Eastern Standard Time (AEST),Australian Eastern Standard Time (AEST),,ü,ü,,,,ü,,,,ü,ü,,,,https://www.environment.nsw.gov.au/topics/air/monitoring-air-quality/regional-and-rural-nsw/regional-monitoring-stations/bathurst
,Coffs Harbour,Rural and regional NSW,Mid-north Coast,"City Centre, Park off Duke St near Carralls Gully",-30.29831,153.11808,21,2019,Active,Standard - Australian Standards Methods,Australian Eastern Standard Time (AEST),Australian Eastern Standard Time (AEST),,ü,ü,,ü,,ü,ü,ü,,ü,ü,,,,Looking for suitable site - not available yet
,Goulburn,Rural and regional NSW,Southern Tablelands,"Leggett Park, Cnr of Howard Street and McDermott Street",-34.73451,149.72421,702,2019,Active,Standard - Australian Standards Methods,Australian Eastern Standard Time (AEST),Australian Eastern Standard Time (AEST),,ü,ü,,ü,,ü,ü,,,ü,ü,,ü,,https://www.environment.nsw.gov.au/topics/air/monitoring-air-quality/regional-and-rural-nsw/regional-monitoring-stations/goulburn
,Gunnedah,Rural and regional NSW,North west slopes,Kitchener Park - Osric St,-30.98188,150.26067,272,2017,Active,Standard - Australian Standards Methods,Australian Eastern Standard Time (AEST),Australian Eastern Standard Time (AEST),,ü,ü,,ü,,ü,,,,ü,ü,,ü,,https://www.environment.nsw.gov.au/topics/air/monitoring-air-quality/regional-and-rural-nsw/regional-monitoring-stations/gunnedah
,Narrabri,Rural and regional NSW,North west slopes,Narrabri Airport - Airport Rd,-30.31843,149.82938,239,2017,Active,Standard - Australian Standards Methods,Australian Eastern Standard Time (AEST),Australian Eastern Standard Time (AEST),,ü,ü,,,,,,,,ü,ü,,,,https://www.environment.nsw.gov.au/topics/air/monitoring-air-quality/regional-and-rural-nsw/regional-monitoring-stations/narrabri
,Orange,Rural and regional NSW,Central Tablelands,"Jaeger Reserve, Hill Street",-33.27442,149.09439,871,2019,Active,Standard - Australian Standards Methods,Australian Eastern Standard Time (AEST),Australian Eastern Standard Time (AEST),,ü,ü,,,,ü,ü,,,ü,ü,,ü,,https://www.environment.nsw.gov.au/topics/air/monitoring-air-quality/regional-and-rural-nsw/regional-monitoring-stations/orange
,Port Macquarie,Rural and regional NSW,Mid-north Coast,10 Sherwood Road,-31.44776,152.87653,73,2019,Active,Standard - Australian Standards Methods,Australian Eastern Standard Time (AEST),Australian Eastern Standard Time (AEST),,ü,ü,,ü,ü,ü,ü,ü,,ü,ü,,,,Looking for suitable site - not available yet
,Tamworth,Rural and regional NSW,North west slopes,Hyman Park,-31.10991,150.91450,405,2000,Active,Standard - Australian Standards Methods,Australian Eastern Standard Time (AEST),Australian Eastern Standard Time (AEST),200,ü,ü,,,,ü,,,,ü,ü,,,,https://www.environment.nsw.gov.au/topics/air/monitoring-air-quality/regional-and-rural-nsw/regional-monitoring-stations/tamworth
,Wagga Wagga,Rural and regional NSW,South west slopes,Morgan & Murray Sts,-35.11560,147.36085,181,2000,Decommissioned (2011),Standard - Australian Standards Methods,Australian Eastern Standard Time (AEST),Australian Eastern Standard Time (AEST),,ü,,,,,,,,,ü,ü,,,,Not available
,Wagga Wagga North,Rural and regional NSW,South west slopes,Wagga Wagga Racecourse,-35.10441,147.36051,179,2011,Active,Standard - Australian Standards Methods,Australian Eastern Standard Time (AEST),Australian Eastern Standard Time (AEST),,ü,ü,,,,ü,,,,ü,ü,,ü,ü,https://www.environment.nsw.gov.au/topics/air/monitoring-air-quality/regional-and-rural-nsw/regional-monitoring-stations/wagga-wagga-north
